recall,precision,method
0.9807333333333333,0.30014485952706427,FedTROS-PR
0.9807333333333333,0.300175481554032,FedTROS-PR
0.9806666666666667,0.3002592312873793,FedTROS-PR
0.9806,0.3002572058463297,FedTROS-PR
0.9802,0.30051506356538443,FedTROS-PR
0.9802,0.30052120592743997,FedTROS-PR
0.9802,0.3005396345202567,FedTROS-PR
0.9802,0.3005457778867971,FedTROS-PR
0.9800666666666666,0.3005233247475367,FedTROS-PR
0.9800666666666666,0.30053561206967044,FedTROS-PR
0.9800666666666666,0.3005724800654263,FedTROS-PR
0.9800666666666666,0.30060935710780307,FedTROS-PR
0.98,0.300656535700407,FedTROS-PR
0.98,0.3007241929544618,FedTROS-PR
0.9798666666666667,0.3007017328505084,FedTROS-PR
0.9798,0.30071818795654043,FedTROS-PR
0.9798,0.3007243411360288,FedTROS-PR
0.9798,0.3007735756385069,FedTROS-PR
0.9797333333333333,0.30075926570206496,FedTROS-PR
0.9795333333333334,0.300734797470168,FedTROS-PR
0.9792666666666666,0.3008869497531699,FedTROS-PR
0.9792666666666666,0.3008992768912469,FedTROS-PR
0.9792,0.3010761504560828,FedTROS-PR
0.9791333333333333,0.3010803386564441,FedTROS-PR
0.9791333333333333,0.3011112022306052,FedTROS-PR
0.9790666666666666,0.3011030467052118,FedTROS-PR
0.979,0.30110723805618206,FedTROS-PR
0.9789333333333333,0.3011423063513874,FedTROS-PR
0.9789333333333333,0.3012906005704085,FedTROS-PR
0.9789333333333333,0.301370987603645,FedTROS-PR
0.9789333333333333,0.3013895445495782,FedTROS-PR
0.9787333333333333,0.30143314717477004,FedTROS-PR
0.9787333333333333,0.3014455258510944,FedTROS-PR
0.9787333333333333,0.30145171557052214,FedTROS-PR
0.9787333333333333,0.3014702862540556,FedTROS-PR
0.9787333333333333,0.30153220506079526,FedTROS-PR
0.9787333333333333,0.3015879537377514,FedTROS-PR
0.9785333333333334,0.3015696909927679,FedTROS-PR
0.9784666666666667,0.3016297087897408,FedTROS-PR
0.9784666666666667,0.30175994078703894,FedTROS-PR
