fpr,tpr,method
0.11838461538461538,0.485,FedTROS-PR
0.11917948717948718,0.4862666666666667,FedTROS-PR
0.1192051282051282,0.48673333333333335,FedTROS-PR
0.11974358974358974,0.48746666666666666,FedTROS-PR
0.11987179487179488,0.48746666666666666,FedTROS-PR
0.1198974358974359,0.48746666666666666,FedTROS-PR
0.12015384615384615,0.488,FedTROS-PR
0.12023076923076922,0.48833333333333334,FedTROS-PR
0.12035897435897436,0.48873333333333335,FedTROS-PR
0.12056410256410256,0.48906666666666665,FedTROS-PR
0.12094871794871795,0.48993333333333333,FedTROS-PR
0.1216923076923077,0.4912666666666667,FedTROS-PR
0.12228205128205129,0.4922666666666667,FedTROS-PR
0.12230769230769231,0.4922666666666667,FedTROS-PR
0.12241025641025641,0.4926,FedTROS-PR
0.12287179487179486,0.4932,FedTROS-PR
0.12335897435897436,0.4934,FedTROS-PR
0.12351282051282052,0.49366666666666664,FedTROS-PR
0.12376923076923077,0.49466666666666664,FedTROS-PR
0.12425641025641025,0.4958666666666667,FedTROS-PR
0.12456410256410257,0.4964,FedTROS-PR
0.12474358974358975,0.4965333333333333,FedTROS-PR
0.12512820512820513,0.4971333333333333,FedTROS-PR
0.12556410256410255,0.4974,FedTROS-PR
0.1256923076923077,0.4975333333333333,FedTROS-PR
0.12582051282051282,0.49773333333333336,FedTROS-PR
0.12630769230769232,0.49906666666666666,FedTROS-PR
0.12656410256410255,0.4996,FedTROS-PR
0.12715384615384615,0.5008666666666667,FedTROS-PR
0.12735897435897436,0.5012666666666666,FedTROS-PR
0.12812820512820514,0.5018,FedTROS-PR
0.12817948717948718,0.5019333333333333,FedTROS-PR
0.1285897435897436,0.5034666666666666,FedTROS-PR
0.12874358974358974,0.5036,FedTROS-PR
0.1295897435897436,0.5048,FedTROS-PR
0.1306923076923077,0.5064666666666666,FedTROS-PR
0.1306923076923077,0.5066666666666667,FedTROS-PR
0.13092307692307692,0.5075333333333333,FedTROS-PR
0.13097435897435897,0.5078666666666667,FedTROS-PR
0.1311025641025641,0.5082,FedTROS-PR
0.13112820512820514,0.5082666666666666,FedTROS-PR
0.13130769230769232,0.5086666666666667,FedTROS-PR
